Date,외국인_보유금액,외환보유액,FTSE,MSCI,외평채_2013,외평채_2014_04,외평채_2014_09,외평채_2015,외평채_2016,외평채_2019,외평채_2023,외평채_2024,외평채_2027,외평채_2028,외평채_2029,외평채_2044,외평채_2048,국고채_3년,국고채_5년,국고채_10년,회사채_3년,CD,콜금리,기준금리,연준금리,AAII,VIX
200408월,165.6,1705.0,103.86,237.37,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,4.01,4.33,4.38,3.7,3.6,3.5,1.429,2.975,15.29
200409월,173.1,1745.0,107.45,245.87,75.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,3.75,4.14,4.1,3.52,3.52,3.5,1.605,15.94,13.34
200410월,171.3,1784.0,107.08,243.79,56.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,3.67,4.05,4.01,3.52,3.52,3.5,1.76,19.5,16.27
200411월,179.1,1926.0,111.54,252.75,62.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,3.53,3.96,3.86,3.42,3.34,3.25,1.932,34.9,13.24
200412월,179.7,1991.0,113.59,256.4,66.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,3.39,3.85,3.73,3.39,3.27,3.25,2.156,34.6,13.29
200501월,190.4,1997.0,117.43,269.87,61.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,3.89,4.42,4.11,3.47,3.26,3.25,2.279,-3.075,12.82
200502월,206.4,2022.0,127.22,290.05,61.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,4.47,4.88,4.63,3.59,3.26,3.25,2.501,11.0,12.08
200503월,195.0,2055.0,120.84,275.98,74.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,4.29,4.77,4.48,3.55,3.24,3.25,2.629,-0.82,14.02
200504월,182.6,2064.0,112.99,257.79,78.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,4.11,4.69,4.28,3.52,3.25,3.25,2.784,-10.6,15.31
200505월,194.0,2061.0,120.01,273.48,71.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,3.89,4.42,4.12,3.51,3.29,3.25,3.002,2.225,13.29
200506월,200.7,2050.0,123.44,281.07,64.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,3.97,4.46,4.18,3.51,3.27,3.25,3.035,25.92,12.04
200507월,223.8,2057.0,137.45,313.56,60.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,4.39,4.89,4.52,3.51,3.24,3.25,3.262,30.025,11.57
200508월,218.9,2067.0,134.56,307.52,63.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,4.67,5.08,4.75,3.5,3.24,3.25,3.499,6.575,12.6
200509월,244.0,2067.0,151.19,345.21,57.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,4.81,5.15,4.92,3.7,3.24,3.25,3.622,5.26,11.92
200510월,229.2,2073.0,142.12,324.28,62.0,0.0,72.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,5.06,5.36,5.2,3.93,3.45,3.5,3.779,1.65,15.32
200511월,254.5,2082.0,158.61,360.28,65.0,0.0,74.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.39,5.68,5.5,3.96,3.49,3.5,3.999,31.025,12.06
200512월,270.2,2104.0,170.85,386.26,67.0,0.0,74.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,5.33,5.6,5.49,4.04,3.7,3.75,4.157,19.42,12.07
200601월,281.7,2169.0,176.16,398.14,64.0,0.0,65.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,5.29,5.58,5.5,4.15,3.74,3.75,4.285,12.65,12.95
200602월,276.9,2160.0,171.3,387.84,62.0,0.0,63.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,5.03,5.28,5.33,4.25,3.92,4.0,4.491,9.075,12.34
200603월,277.2,2173.0,170.44,386.03,76.0,0.0,75.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,5.13,5.42,5.3,4.27,3.97,4.0,4.589,11.4,11.39
200604월,287.5,2229.0,178.12,400.15,65.0,0.0,65.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,5.16,5.45,5.24,4.33,3.97,4.0,4.79,10.25,11.59
200605월,264.6,2247.0,165.18,370.41,67.0,0.0,70.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,4.93,5.2,5.05,4.36,3.96,4.0,4.94,5.75,16.44
200606월,259.0,2244.0,162.68,365.32,80.0,0.0,81.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,5.03,5.25,5.17,4.47,4.17,4.25,4.991,-15.02,13.08
200607월,256.5,2257.0,164.19,367.0,71.0,0.0,73.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,5.0,5.16,5.18,4.63,4.21,4.25,5.235,-12.475,14.95
200608월,261.9,2270.0,169.7,378.38,69.0,0.0,70.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,4.83,4.94,5.1,4.68,4.42,4.5,5.246,-1.66,12.31
200609월,263.4,2282.0,172.49,383.95,68.0,0.0,69.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,4.76,4.89,5.02,4.64,4.47,4.5,5.254,13.65,11.98
200610월,260.8,2295.0,171.06,380.6,67.0,0.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,4.67,4.79,4.93,4.57,4.48,4.5,5.245,12.1,11.1
200611월,271.0,2343.0,178.39,396.38,64.0,0.0,68.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,4.79,4.91,5.05,4.6,4.47,4.5,5.245,7.94,10.91
200612월,272.8,2390.0,178.26,395.18,60.0,0.0,64.0,23.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,4.88,4.95,5.18,4.76,4.5,4.5,5.238,1.775,11.56
200701월,277.6,2402.0,170.96,379.3,66.0,0.0,66.0,19.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,5.0,5.04,5.32,4.92,4.63,4.5,5.248,16.675,10.42
200702월,291.8,2428.0,178.59,395.57,64.0,0.0,64.0,26.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,4.94,5.01,5.28,4.95,4.6,4.5,5.258,20.0,15.42
200703월,297.9,2439.0,182.26,404.75,63.0,0.0,62.0,24.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,4.82,4.94,5.2,4.94,4.6,4.5,5.256,0.68,14.64
200704월,314.3,2473.0,191.65,424.43,59.0,0.0,60.0,20.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,4.96,5.07,5.34,4.95,4.69,4.5,5.249,3.5,14.22
200705월,336.4,2507.0,208.11,458.21,58.0,0.0,58.0,16.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.13,5.22,5.49,5.04,4.61,4.5,5.253,-7.32,13.05
200706월,343.1,2507.0,213.08,469.6,65.0,0.0,63.0,17.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,5.35,5.48,5.64,5.03,4.54,4.5,5.254,1.1,16.23
200707월,369.9,2548.0,235.74,518.36,94.0,0.0,95.0,17.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,5.43,5.52,5.75,5.05,4.67,4.75,5.258,9.275,23.52
200708월,348.4,2553.0,229.65,505.53,97.0,0.0,87.0,30.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,5.33,5.42,5.7,5.21,4.92,5.0,5.022,0.32,23.379
200709월,359.8,2573.0,241.45,529.84,93.0,0.0,74.0,29.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,5.44,5.52,5.85,5.34,4.98,5.0,4.938,5.875,18.0
200710월,372.1,2601.0,254.43,558.47,93.0,0.0,73.0,29.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,5.49,5.56,5.98,5.34,5.0,5.0,4.755,11.175,18.53
